,country,date,count
103,Madagascar,2020-01-22,0.0
104,Malaysia,2020-01-22,0.0
105,Maldives,2020-01-22,0.0
106,Malta,2020-01-22,0.0
107,Martinique,2020-01-22,0.0
108,Mauritania,2020-01-22,0.0
109,Mauritius,2020-01-22,0.0
110,Mayotte,2020-01-22,0.0
111,Mexico,2020-01-22,0.0
112,Moldova,2020-01-22,0.0
113,Monaco,2020-01-22,0.0
114,Mongolia,2020-01-22,0.0
115,Montenegro,2020-01-22,0.0
116,Morocco,2020-01-22,0.0
117,Mozambique,2020-01-22,0.0
118,Namibia,2020-01-22,0.0
119,Nepal,2020-01-22,0.0
120,Netherlands,2020-01-22,0.0
121,New Zealand,2020-01-22,0.0
122,Nicaragua,2020-01-22,0.0
123,Niger,2020-01-22,0.0
124,Nigeria,2020-01-22,0.0
125,North Macedonia,2020-01-22,0.0
126,Norway,2020-01-22,0.0
127,Oman,2020-01-22,0.0
128,Pakistan,2020-01-22,0.0
129,Panama,2020-01-22,0.0
130,Papua New Guinea,2020-01-22,0.0
131,Paraguay,2020-01-22,0.0
132,Peru,2020-01-22,0.0
133,Philippines,2020-01-22,0.0
134,Poland,2020-01-22,0.0
135,Portugal,2020-01-22,0.0
136,Puerto Rico,2020-01-22,0.0
137,Qatar,2020-01-22,0.0
138,Republic of the Congo,2020-01-22,0.0
139,Reunion,2020-01-22,0.0
140,Romania,2020-01-22,0.0
141,Russia,2020-01-22,0.0
142,Rwanda,2020-01-22,0.0
143,Saint Lucia,2020-01-22,0.0
144,Saint Vincent and the Grenadines,2020-01-22,0.0
145,San Marino,2020-01-22,0.0
146,Saudi Arabia,2020-01-22,0.0
147,Senegal,2020-01-22,0.0
148,Serbia,2020-01-22,0.0
149,Seychelles,2020-01-22,0.0
150,Singapore,2020-01-22,0.0
151,Slovakia,2020-01-22,0.0
152,Slovenia,2020-01-22,0.0
153,Somalia,2020-01-22,0.0
154,South Africa,2020-01-22,0.0
155,Spain,2020-01-22,0.0
156,Sri Lanka,2020-01-22,0.0
157,Sudan,2020-01-22,0.0
158,Suriname,2020-01-22,0.0
159,Sweden,2020-01-22,0.0
160,Switzerland,2020-01-22,0.0
161,Syria,2020-01-22,0.0
162,Taiwan*,2020-01-22,1.0
163,Tanzania,2020-01-22,0.0
164,Thailand,2020-01-22,2.0
165,The Bahamas,2020-01-22,0.0
166,The Gambia,2020-01-22,0.0
167,Timor-Leste,2020-01-22,0.0
168,Togo,2020-01-22,0.0
169,Trinidad and Tobago,2020-01-22,0.0
170,Tunisia,2020-01-22,0.0
171,Turkey,2020-01-22,0.0
172,US,2020-01-22,1.0
173,Uganda,2020-01-22,0.0
174,Ukraine,2020-01-22,0.0
175,United Arab Emirates,2020-01-22,0.0
176,United Kingdom,2020-01-22,0.0
177,Uruguay,2020-01-22,0.0
178,Uzbekistan,2020-01-22,0.0
179,Venezuela,2020-01-22,0.0
180,Vietnam,2020-01-22,0.0
181,Zambia,2020-01-22,0.0
182,Zimbabwe,2020-01-22,0.0
183,Afghanistan,2020-01-23,0.0
184,Albania,2020-01-23,0.0
185,Algeria,2020-01-23,0.0
186,Andorra,2020-01-23,0.0
187,Angola,2020-01-23,0.0
188,Antigua and Barbuda,2020-01-23,0.0
189,Argentina,2020-01-23,0.0
190,Armenia,2020-01-23,0.0
191,Australia,2020-01-23,0.0
192,Austria,2020-01-23,0.0
193,Azerbaijan,2020-01-23,0.0
194,"Bahamas, The",2020-01-23,0.0
195,Bahrain,2020-01-23,0.0
196,Bangladesh,2020-01-23,0.0
197,Barbados,2020-01-23,0.0
198,Belarus,2020-01-23,0.0
199,Belgium,2020-01-23,0.0
200,Benin,2020-01-23,0.0
201,Bhutan,2020-01-23,0.0
202,Bolivia,2020-01-23,0.0
203,Bosnia and Herzegovina,2020-01-23,0.0
204,Brazil,2020-01-23,0.0
205,Brunei,2020-01-23,0.0
206,Bulgaria,2020-01-23,0.0
207,Burkina Faso,2020-01-23,0.0
208,Cabo Verde,2020-01-23,0.0
209,Cambodia,2020-01-23,0.0
210,Cameroon,2020-01-23,0.0
211,Canada,2020-01-23,0.0
212,Cape Verde,2020-01-23,0.0
213,Central African Republic,2020-01-23,0.0
214,Chad,2020-01-23,0.0
215,Chile,2020-01-23,0.0
216,China,2020-01-23,643.0
217,Colombia,2020-01-23,0.0
218,Congo (Brazzaville),2020-01-23,0.0
219,Congo (Kinshasa),2020-01-23,0.0
220,Costa Rica,2020-01-23,0.0
221,Cote d'Ivoire,2020-01-23,0.0
222,Croatia,2020-01-23,0.0
223,Cruise Ship,2020-01-23,0.0
224,Cuba,2020-01-23,0.0
225,Cyprus,2020-01-23,0.0
226,Czechia,2020-01-23,0.0
227,Denmark,2020-01-23,0.0
228,Djibouti,2020-01-23,0.0
229,Dominica,2020-01-23,0.0
230,Dominican Republic,2020-01-23,0.0
231,East Timor,2020-01-23,0.0
232,Ecuador,2020-01-23,0.0
233,Egypt,2020-01-23,0.0
234,El Salvador,2020-01-23,0.0
235,Equatorial Guinea,2020-01-23,0.0
236,Eritrea,2020-01-23,0.0
237,Estonia,2020-01-23,0.0
238,Eswatini,2020-01-23,0.0
239,Ethiopia,2020-01-23,0.0
240,Fiji,2020-01-23,0.0
241,Finland,2020-01-23,0.0
242,France,2020-01-23,0.0
243,French Guiana,2020-01-23,0.0
244,Gabon,2020-01-23,0.0
245,"Gambia, The",2020-01-23,0.0
246,Georgia,2020-01-23,0.0
247,Germany,2020-01-23,0.0
248,Ghana,2020-01-23,0.0
249,Greece,2020-01-23,0.0
250,Greenland,2020-01-23,0.0
251,Grenada,2020-01-23,0.0
252,Guadeloupe,2020-01-23,0.0
253,Guam,2020-01-23,0.0
254,Guatemala,2020-01-23,0.0
255,Guernsey,2020-01-23,0.0
256,Guinea,2020-01-23,0.0
257,Guyana,2020-01-23,0.0
258,Haiti,2020-01-23,0.0
259,Holy See,2020-01-23,0.0
260,Honduras,2020-01-23,0.0
261,Hungary,2020-01-23,0.0
262,Iceland,2020-01-23,0.0
263,India,2020-01-23,0.0
264,Indonesia,2020-01-23,0.0
265,Iran,2020-01-23,0.0
266,Iraq,2020-01-23,0.0
267,Ireland,2020-01-23,0.0
268,Israel,2020-01-23,0.0
269,Italy,2020-01-23,0.0
270,Jamaica,2020-01-23,0.0
271,Japan,2020-01-23,1.0
272,Jersey,2020-01-23,0.0
273,Jordan,2020-01-23,0.0
274,Kazakhstan,2020-01-23,0.0
275,Kenya,2020-01-23,0.0
276,"Korea, South",2020-01-23,1.0
277,Kosovo,2020-01-23,0.0
278,Kuwait,2020-01-23,0.0
279,Kyrgyzstan,2020-01-23,0.0
280,Latvia,2020-01-23,0.0
281,Lebanon,2020-01-23,0.0
282,Liberia,2020-01-23,0.0
283,Liechtenstein,2020-01-23,0.0
284,Lithuania,2020-01-23,0.0
285,Luxembourg,2020-01-23,0.0
286,Madagascar,2020-01-23,0.0
287,Malaysia,2020-01-23,0.0
288,Maldives,2020-01-23,0.0
289,Malta,2020-01-23,0.0
290,Martinique,2020-01-23,0.0
291,Mauritania,2020-01-23,0.0
292,Mauritius,2020-01-23,0.0
293,Mayotte,2020-01-23,0.0
294,Mexico,2020-01-23,0.0
295,Moldova,2020-01-23,0.0
296,Monaco,2020-01-23,0.0
297,Mongolia,2020-01-23,0.0
298,Montenegro,2020-01-23,0.0
299,Morocco,2020-01-23,0.0
300,Mozambique,2020-01-23,0.0
301,Namibia,2020-01-23,0.0
302,Nepal,2020-01-23,0.0
303,Netherlands,2020-01-23,0.0
304,New Zealand,2020-01-23,0.0
305,Nicaragua,2020-01-23,0.0
306,Niger,2020-01-23,0.0
307,Nigeria,2020-01-23,0.0
308,North Macedonia,2020-01-23,0.0
309,Norway,2020-01-23,0.0
310,Oman,2020-01-23,0.0
311,Pakistan,2020-01-23,0.0
312,Panama,2020-01-23,0.0
313,Papua New Guinea,2020-01-23,0.0
314,Paraguay,2020-01-23,0.0
315,Peru,2020-01-23,0.0
316,Philippines,2020-01-23,0.0
317,Poland,2020-01-23,0.0
318,Portugal,2020-01-23,0.0
319,Puerto Rico,2020-01-23,0.0
320,Qatar,2020-01-23,0.0
321,Republic of the Congo,2020-01-23,0.0
322,Reunion,2020-01-23,0.0
323,Romania,2020-01-23,0.0
324,Russia,2020-01-23,0.0
325,Rwanda,2020-01-23,0.0
326,Saint Lucia,2020-01-23,0.0
327,Saint Vincent and the Grenadines,2020-01-23,0.0
328,San Marino,2020-01-23,0.0
329,Saudi Arabia,2020-01-23,0.0
330,Senegal,2020-01-23,0.0
331,Serbia,2020-01-23,0.0
332,Seychelles,2020-01-23,0.0
333,Singapore,2020-01-23,1.0
334,Slovakia,2020-01-23,0.0
335,Slovenia,2020-01-23,0.0
336,Somalia,2020-01-23,0.0
337,South Africa,2020-01-23,0.0
338,Spain,2020-01-23,0.0
339,Sri Lanka,2020-01-23,0.0
340,Sudan,2020-01-23,0.0
341,Suriname,2020-01-23,0.0
342,Sweden,2020-01-23,0.0
343,Switzerland,2020-01-23,0.0
344,Syria,2020-01-23,0.0
345,Taiwan*,2020-01-23,1.0
346,Tanzania,2020-01-23,0.0
347,Thailand,2020-01-23,3.0
348,The Bahamas,2020-01-23,0.0
349,The Gambia,2020-01-23,0.0
350,Timor-Leste,2020-01-23,0.0
351,Togo,2020-01-23,0.0
352,Trinidad and Tobago,2020-01-23,0.0
353,Tunisia,2020-01-23,0.0
354,Turkey,2020-01-23,0.0
355,US,2020-01-23,1.0
356,Uganda,2020-01-23,0.0
357,Ukraine,2020-01-23,0.0
358,United Arab Emirates,2020-01-23,0.0
359,United Kingdom,2020-01-23,0.0
360,Uruguay,2020-01-23,0.0
361,Uzbekistan,2020-01-23,0.0
362,Venezuela,2020-01-23,0.0
363,Vietnam,2020-01-23,2.0
364,Zambia,2020-01-23,0.0
365,Zimbabwe,2020-01-23,0.0
366,Afghanistan,2020-01-24,0.0
367,Albania,2020-01-24,0.0
368,Algeria,2020-01-24,0.0
369,Andorra,2020-01-24,0.0
370,Angola,2020-01-24,0.0
371,Antigua and Barbuda,2020-01-24,0.0
372,Argentina,2020-01-24,0.0
373,Armenia,2020-01-24,0.0
374,Australia,2020-01-24,0.0
375,Austria,2020-01-24,0.0
376,Azerbaijan,2020-01-24,0.0
377,"Bahamas, The",2020-01-24,0.0
378,Bahrain,2020-01-24,0.0
379,Bangladesh,2020-01-24,0.0
380,Barbados,2020-01-24,0.0
381,Belarus,2020-01-24,0.0
382,Belgium,2020-01-24,0.0
383,Benin,2020-01-24,0.0
384,Bhutan,2020-01-24,0.0
385,Bolivia,2020-01-24,0.0
386,Bosnia and Herzegovina,2020-01-24,0.0
387,Brazil,2020-01-24,0.0
388,Brunei,2020-01-24,0.0
389,Bulgaria,2020-01-24,0.0
390,Burkina Faso,2020-01-24,0.0
391,Cabo Verde,2020-01-24,0.0
392,Cambodia,2020-01-24,0.0
393,Cameroon,2020-01-24,0.0
394,Canada,2020-01-24,0.0
395,Cape Verde,2020-01-24,0.0
396,Central African Republic,2020-01-24,0.0
397,Chad,2020-01-24,0.0
398,Chile,2020-01-24,0.0
399,China,2020-01-24,920.0
400,Colombia,2020-01-24,0.0
401,Congo (Brazzaville),2020-01-24,0.0
402,Congo (Kinshasa),2020-01-24,0.0
403,Costa Rica,2020-01-24,0.0
404,Cote d'Ivoire,2020-01-24,0.0
405,Croatia,2020-01-24,0.0
406,Cruise Ship,2020-01-24,0.0
407,Cuba,2020-01-24,0.0
408,Cyprus,2020-01-24,0.0
409,Czechia,2020-01-24,0.0
410,Denmark,2020-01-24,0.0
411,Djibouti,2020-01-24,0.0
412,Dominica,2020-01-24,0.0
413,Dominican Republic,2020-01-24,0.0
414,East Timor,2020-01-24,0.0
415,Ecuador,2020-01-24,0.0
416,Egypt,2020-01-24,0.0
417,El Salvador,2020-01-24,0.0
418,Equatorial Guinea,2020-01-24,0.0
419,Eritrea,2020-01-24,0.0
420,Estonia,2020-01-24,0.0
421,Eswatini,2020-01-24,0.0
422,Ethiopia,2020-01-24,0.0
423,Fiji,2020-01-24,0.0
424,Finland,2020-01-24,0.0
425,France,2020-01-24,2.0
426,French Guiana,2020-01-24,0.0
427,Gabon,2020-01-24,0.0
428,"Gambia, The",2020-01-24,0.0
429,Georgia,2020-01-24,0.0
430,Germany,2020-01-24,0.0
431,Ghana,2020-01-24,0.0
432,Greece,2020-01-24,0.0
433,Greenland,2020-01-24,0.0
434,Grenada,2020-01-24,0.0
435,Guadeloupe,2020-01-24,0.0
436,Guam,2020-01-24,0.0
437,Guatemala,2020-01-24,0.0
438,Guernsey,2020-01-24,0.0
439,Guinea,2020-01-24,0.0
440,Guyana,2020-01-24,0.0
441,Haiti,2020-01-24,0.0
442,Holy See,2020-01-24,0.0
443,Honduras,2020-01-24,0.0
444,Hungary,2020-01-24,0.0
445,Iceland,2020-01-24,0.0
446,India,2020-01-24,0.0
447,Indonesia,2020-01-24,0.0
448,Iran,2020-01-24,0.0
449,Iraq,2020-01-24,0.0
450,Ireland,2020-01-24,0.0
451,Israel,2020-01-24,0.0
452,Italy,2020-01-24,0.0
453,Jamaica,2020-01-24,0.0
454,Japan,2020-01-24,2.0
455,Jersey,2020-01-24,0.0
456,Jordan,2020-01-24,0.0
457,Kazakhstan,2020-01-24,0.0
458,Kenya,2020-01-24,0.0
459,"Korea, South",2020-01-24,2.0
460,Kosovo,2020-01-24,0.0
461,Kuwait,2020-01-24,0.0
462,Kyrgyzstan,2020-01-24,0.0
463,Latvia,2020-01-24,0.0
464,Lebanon,2020-01-24,0.0
465,Liberia,2020-01-24,0.0
466,Liechtenstein,2020-01-24,0.0
467,Lithuania,2020-01-24,0.0
468,Luxembourg,2020-01-24,0.0
469,Madagascar,2020-01-24,0.0
470,Malaysia,2020-01-24,0.0
471,Maldives,2020-01-24,0.0
472,Malta,2020-01-24,0.0
473,Martinique,2020-01-24,0.0
474,Mauritania,2020-01-24,0.0
475,Mauritius,2020-01-24,0.0
476,Mayotte,2020-01-24,0.0
477,Mexico,2020-01-24,0.0
478,Moldova,2020-01-24,0.0
479,Monaco,2020-01-24,0.0
480,Mongolia,2020-01-24,0.0
481,Montenegro,2020-01-24,0.0
482,Morocco,2020-01-24,0.0
483,Mozambique,2020-01-24,0.0
484,Namibia,2020-01-24,0.0
485,Nepal,2020-01-24,0.0
486,Netherlands,2020-01-24,0.0
487,New Zealand,2020-01-24,0.0
488,Nicaragua,2020-01-24,0.0
489,Niger,2020-01-24,0.0
490,Nigeria,2020-01-24,0.0
491,North Macedonia,2020-01-24,0.0
492,Norway,2020-01-24,0.0
493,Oman,2020-01-24,0.0
494,Pakistan,2020-01-24,0.0
495,Panama,2020-01-24,0.0
496,Papua New Guinea,2020-01-24,0.0
497,Paraguay,2020-01-24,0.0
498,Peru,2020-01-24,0.0
499,Philippines,2020-01-24,0.0
500,Poland,2020-01-24,0.0
501,Portugal,2020-01-24,0.0
502,Puerto Rico,2020-01-24,0.0
503,Qatar,2020-01-24,0.0
504,Republic of the Congo,2020-01-24,0.0
505,Reunion,2020-01-24,0.0
506,Romania,2020-01-24,0.0
507,Russia,2020-01-24,0.0
508,Rwanda,2020-01-24,0.0
509,Saint Lucia,2020-01-24,0.0
510,Saint Vincent and the Grenadines,2020-01-24,0.0
511,San Marino,2020-01-24,0.0
512,Saudi Arabia,2020-01-24,0.0
513,Senegal,2020-01-24,0.0
514,Serbia,2020-01-24,0.0
515,Seychelles,2020-01-24,0.0
516,Singapore,2020-01-24,3.0
517,Slovakia,2020-01-24,0.0
518,Slovenia,2020-01-24,0.0
519,Somalia,2020-01-24,0.0
520,South Africa,2020-01-24,0.0
521,Spain,2020-01-24,0.0
522,Sri Lanka,2020-01-24,0.0
523,Sudan,2020-01-24,0.0
524,Suriname,2020-01-24,0.0
525,Sweden,2020-01-24,0.0
526,Switzerland,2020-01-24,0.0
527,Syria,2020-01-24,0.0
528,Taiwan*,2020-01-24,3.0
529,Tanzania,2020-01-24,0.0
530,Thailand,2020-01-24,5.0
531,The Bahamas,2020-01-24,0.0
532,The Gambia,2020-01-24,0.0
533,Timor-Leste,2020-01-24,0.0
534,Togo,2020-01-24,0.0
535,Trinidad and Tobago,2020-01-24,0.0
536,Tunisia,2020-01-24,0.0
537,Turkey,2020-01-24,0.0
538,US,2020-01-24,2.0
539,Uganda,2020-01-24,0.0
540,Ukraine,2020-01-24,0.0
541,United Arab Emirates,2020-01-24,0.0
542,United Kingdom,2020-01-24,0.0
543,Uruguay,2020-01-24,0.0
544,Uzbekistan,2020-01-24,0.0
545,Venezuela,2020-01-24,0.0
546,Vietnam,2020-01-24,2.0
547,Zambia,2020-01-24,0.0
548,Zimbabwe,2020-01-24,0.0
549,Afghanistan,2020-01-25,0.0
550,Albania,2020-01-25,0.0
551,Algeria,2020-01-25,0.0
552,Andorra,2020-01-25,0.0
553,Angola,2020-01-25,0.0
554,Antigua and Barbuda,2020-01-25,0.0
555,Argentina,2020-01-25,0.0
556,Armenia,2020-01-25,0.0
557,Australia,2020-01-25,0.0
558,Austria,2020-01-25,0.0
559,Azerbaijan,2020-01-25,0.0
560,"Bahamas, The",2020-01-25,0.0
561,Bahrain,2020-01-25,0.0
562,Bangladesh,2020-01-25,0.0
563,Barbados,2020-01-25,0.0
564,Belarus,2020-01-25,0.0
565,Belgium,2020-01-25,0.0
566,Benin,2020-01-25,0.0
567,Bhutan,2020-01-25,0.0
568,Bolivia,2020-01-25,0.0
569,Bosnia and Herzegovina,2020-01-25,0.0
570,Brazil,2020-01-25,0.0
571,Brunei,2020-01-25,0.0
572,Bulgaria,2020-01-25,0.0
573,Burkina Faso,2020-01-25,0.0
574,Cabo Verde,2020-01-25,0.0
575,Cambodia,2020-01-25,0.0
576,Cameroon,2020-01-25,0.0
577,Canada,2020-01-25,0.0
578,Cape Verde,2020-01-25,0.0
579,Central African Republic,2020-01-25,0.0
580,Chad,2020-01-25,0.0
581,Chile,2020-01-25,0.0
582,China,2020-01-25,1406.0
583,Colombia,2020-01-25,0.0
584,Congo (Brazzaville),2020-01-25,0.0
585,Congo (Kinshasa),2020-01-25,0.0
586,Costa Rica,2020-01-25,0.0
587,Cote d'Ivoire,2020-01-25,0.0
588,Croatia,2020-01-25,0.0
589,Cruise Ship,2020-01-25,0.0
590,Cuba,2020-01-25,0.0
591,Cyprus,2020-01-25,0.0
592,Czechia,2020-01-25,0.0
593,Denmark,2020-01-25,0.0
594,Djibouti,2020-01-25,0.0
595,Dominica,2020-01-25,0.0
596,Dominican Republic,2020-01-25,0.0
597,East Timor,2020-01-25,0.0
598,Ecuador,2020-01-25,0.0
599,Egypt,2020-01-25,0.0
600,El Salvador,2020-01-25,0.0
601,Equatorial Guinea,2020-01-25,0.0
602,Eritrea,2020-01-25,0.0
603,Estonia,2020-01-25,0.0
604,Eswatini,2020-01-25,0.0
605,Ethiopia,2020-01-25,0.0
606,Fiji,2020-01-25,0.0
607,Finland,2020-01-25,0.0
608,France,2020-01-25,3.0
609,French Guiana,2020-01-25,0.0
610,Gabon,2020-01-25,0.0
611,"Gambia, The",2020-01-25,0.0
612,Georgia,2020-01-25,0.0
613,Germany,2020-01-25,0.0
614,Ghana,2020-01-25,0.0
615,Greece,2020-01-25,0.0
616,Greenland,2020-01-25,0.0
617,Grenada,2020-01-25,0.0
618,Guadeloupe,2020-01-25,0.0
619,Guam,2020-01-25,0.0
620,Guatemala,2020-01-25,0.0
621,Guernsey,2020-01-25,0.0
622,Guinea,2020-01-25,0.0
623,Guyana,2020-01-25,0.0
624,Haiti,2020-01-25,0.0
625,Holy See,2020-01-25,0.0
626,Honduras,2020-01-25,0.0
627,Hungary,2020-01-25,0.0
628,Iceland,2020-01-25,0.0
629,India,2020-01-25,0.0
630,Indonesia,2020-01-25,0.0
631,Iran,2020-01-25,0.0
632,Iraq,2020-01-25,0.0
633,Ireland,2020-01-25,0.0
634,Israel,2020-01-25,0.0
635,Italy,2020-01-25,0.0
636,Jamaica,2020-01-25,0.0
637,Japan,2020-01-25,2.0
638,Jersey,2020-01-25,0.0
639,Jordan,2020-01-25,0.0
640,Kazakhstan,2020-01-25,0.0
641,Kenya,2020-01-25,0.0
642,"Korea, South",2020-01-25,2.0
643,Kosovo,2020-01-25,0.0
644,Kuwait,2020-01-25,0.0
645,Kyrgyzstan,2020-01-25,0.0
646,Latvia,2020-01-25,0.0
647,Lebanon,2020-01-25,0.0
648,Liberia,2020-01-25,0.0
649,Liechtenstein,2020-01-25,0.0
650,Lithuania,2020-01-25,0.0
651,Luxembourg,2020-01-25,0.0
652,Madagascar,2020-01-25,0.0
653,Malaysia,2020-01-25,3.0
654,Maldives,2020-01-25,0.0
655,Malta,2020-01-25,0.0
656,Martinique,2020-01-25,0.0
657,Mauritania,2020-01-25,0.0
658,Mauritius,2020-01-25,0.0
659,Mayotte,2020-01-25,0.0
660,Mexico,2020-01-25,0.0
661,Moldova,2020-01-25,0.0
662,Monaco,2020-01-25,0.0
663,Mongolia,2020-01-25,0.0
664,Montenegro,2020-01-25,0.0
665,Morocco,2020-01-25,0.0
666,Mozambique,2020-01-25,0.0
667,Namibia,2020-01-25,0.0
668,Nepal,2020-01-25,1.0
669,Netherlands,2020-01-25,0.0
670,New Zealand,2020-01-25,0.0
671,Nicaragua,2020-01-25,0.0
672,Niger,2020-01-25,0.0
673,Nigeria,2020-01-25,0.0
674,North Macedonia,2020-01-25,0.0
675,Norway,2020-01-25,0.0
676,Oman,2020-01-25,0.0
677,Pakistan,2020-01-25,0.0
678,Panama,2020-01-25,0.0
679,Papua New Guinea,2020-01-25,0.0
680,Paraguay,2020-01-25,0.0
681,Peru,2020-01-25,0.0
682,Philippines,2020-01-25,0.0
683,Poland,2020-01-25,0.0
684,Portugal,2020-01-25,0.0
685,Puerto Rico,2020-01-25,0.0
686,Qatar,2020-01-25,0.0
687,Republic of the Congo,2020-01-25,0.0
688,Reunion,2020-01-25,0.0
689,Romania,2020-01-25,0.0
690,Russia,2020-01-25,0.0
691,Rwanda,2020-01-25,0.0
692,Saint Lucia,2020-01-25,0.0
693,Saint Vincent and the Grenadines,2020-01-25,0.0
694,San Marino,2020-01-25,0.0
695,Saudi Arabia,2020-01-25,0.0
696,Senegal,2020-01-25,0.0
697,Serbia,2020-01-25,0.0
698,Seychelles,2020-01-25,0.0
699,Singapore,2020-01-25,3.0
700,Slovakia,2020-01-25,0.0
701,Slovenia,2020-01-25,0.0
702,Somalia,2020-01-25,0.0
703,South Africa,2020-01-25,0.0
704,Spain,2020-01-25,0.0
705,Sri Lanka,2020-01-25,0.0
706,Sudan,2020-01-25,0.0
707,Suriname,2020-01-25,0.0
708,Sweden,2020-01-25,0.0
709,Switzerland,2020-01-25,0.0
710,Syria,2020-01-25,0.0
711,Taiwan*,2020-01-25,3.0
712,Tanzania,2020-01-25,0.0
713,Thailand,2020-01-25,7.0
714,The Bahamas,2020-01-25,0.0
715,The Gambia,2020-01-25,0.0
716,Timor-Leste,2020-01-25,0.0
717,Togo,2020-01-25,0.0
718,Trinidad and Tobago,2020-01-25,0.0
719,Tunisia,2020-01-25,0.0
720,Turkey,2020-01-25,0.0
721,US,2020-01-25,2.0
722,Uganda,2020-01-25,0.0
723,Ukraine,2020-01-25,0.0
724,United Arab Emirates,2020-01-25,0.0
725,United Kingdom,2020-01-25,0.0
726,Uruguay,2020-01-25,0.0
727,Uzbekistan,2020-01-25,0.0
728,Venezuela,2020-01-25,0.0
729,Vietnam,2020-01-25,2.0
730,Zambia,2020-01-25,0.0
731,Zimbabwe,2020-01-25,0.0
732,Afghanistan,2020-01-26,0.0
733,Albania,2020-01-26,0.0
734,Algeria,2020-01-26,0.0
735,Andorra,2020-01-26,0.0
736,Angola,2020-01-26,0.0
737,Antigua and Barbuda,2020-01-26,0.0
738,Argentina,2020-01-26,0.0
739,Armenia,2020-01-26,0.0
740,Australia,2020-01-26,4.0
741,Austria,2020-01-26,0.0
